model,model_family,feature_policy,threshold_policy,attribute,group,group_size,fraud_prevalence,alert_rate,precision,fdr,recall_tpr,fnr,fpr,tnr,tp,fp,fn,tn
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,BF,135,0.007407407407407408,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,134
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,BG,6,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0,0,0,6
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,CA,74882,0.01595844128094869,0.02641489276461633,0.23053589484327602,0.7694641051567239,0.3815899581589958,0.6184100418410042,0.020654932348989647,0.9793450676510104,456,1522,739,72165
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,CB,11275,0.010199556541019957,0.012416851441241685,0.17142857142857143,0.8285714285714285,0.20869565217391303,0.7913043478260869,0.01039426523297491,0.9896057347670251,24,116,91,11044
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,CC,2265,0.03708609271523179,0.06357615894039735,0.2708333333333333,0.7291666666666667,0.4642857142857143,0.5357142857142857,0.048143053645116916,0.951856946354883,39,105,45,2076
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,CD,2513,0.00477516912057302,0.0019896538002387586,0.2,0.8,0.08333333333333333,0.9166666666666666,0.001599360255897641,0.9984006397441023,1,4,11,2497
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,CE,2252,0.003996447602131439,0.0004440497335701599,0.0,1.0,0.0,1.0,0.00044583147570218456,0.9995541685242978,0,1,9,2242
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,CF,3618,0.0030403537866224434,0.0013819789939192924,0.0,1.0,0.0,1.0,0.0013861935126143609,0.9986138064873856,0,5,11,3602
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,CG,38,0.05263157894736842,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,2,36
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,10-20,23953,0.007055483655492005,0.004634075063666347,0.18018018018018017,0.8198198198198199,0.11834319526627218,0.8816568047337278,0.003826101580894719,0.9961738984191053,20,91,149,23693
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,21-30,32363,0.012514291011340111,0.015727837345116336,0.21611001964636542,0.7838899803536346,0.2716049382716049,0.7283950617283951,0.01248513674197384,0.9875148632580262,110,399,295,31559
