model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,0.07894736842105263,0.4864864864864865,0.08526187576126674,0.10255815531007396,0.8277973466767621,2253,210,19,18
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.7570113565290331,0.0821917808219178,0.16216216216216217,0.027202598457166056,0.10255815531007396,0.8277973466767621,2396,67,31,6
anomaly_recency_gate | Logistic Regression | full_0_5 | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_anomaly_scores,validation,default_0_50,0.5,0.039627039627039624,0.5,0.16707218167072183,0.05903762907894188,0.7377749153189256,2054,412,17,17
anomaly_recency_gate | Logistic Regression | full_0_5 | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_anomaly_scores,validation,valid_global_5pct_fpr,0.8221032506603546,0.10869565217391304,0.29411764705882354,0.0332522303325223,0.05903762907894188,0.7377749153189256,2384,82,24,10
anomaly_recency_gate | Logistic Regression | full_0_5 | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_anomaly_scores,test,default_0_50,0.5,0.07450980392156863,0.5135135135135135,0.09581810799837596,0.10813512334444206,0.8289056413295146,2227,236,18,19
anomaly_recency_gate | Logistic Regression | full_0_5 | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_anomaly_scores,test,valid_global_5pct_fpr,0.8221032506603546,0.1111111111111111,0.16216216216216217,0.0194884287454324,0.10813512334444206,0.8289056413295146,2415,48,31,6
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,validation,default_0_50,0.5,0.04387990762124711,0.5588235294117647,0.1678832116788321,0.06100638450205252,0.7494036544058014,2052,414,15,19
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7695000597614267,0.09558823529411764,0.38235294117647056,0.049878345498783457,0.06100638450205252,0.7494036544058014,2343,123,21,13
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,test,default_0_50,0.5,0.07659574468085106,0.4864864864864865,0.0881039382866423,0.0999532108517346,0.8262172038055108,2246,217,19,18
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,test,valid_global_5pct_fpr,0.7695000597614267,0.0958904109589041,0.1891891891891892,0.02679658952496955,0.0999532108517346,0.8262172038055108,2397,66,30,7
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_anomaly_scores,validation,default_0_50,0.5,0.04484304932735426,0.5882352941176471,0.17274939172749393,0.0606291333202185,0.7465173417298793,2040,426,14,20
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_anomaly_scores,validation,valid_global_5pct_fpr,0.7796323364618519,0.08888888888888889,0.35294117647058826,0.049878345498783457,0.0606291333202185,0.7465173417298793,2343,123,22,12
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_anomaly_scores,test,default_0_50,0.5,0.07142857142857142,0.5135135135135135,0.10028420625253756,0.10811437718040377,0.8335582842281989,2216,247,18,19
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | with_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_anomaly_scores,test,valid_global_5pct_fpr,0.7796323364618519,0.10126582278481013,0.21621621621621623,0.02882663418595209,0.10811437718040377,0.8335582842281989,2392,71,29,8
anomaly_recency_gate | Logistic Regression | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,validation,default_0_50,0.5,0.04740406320541761,0.6176470588235294,0.1711273317112733,0.0795720732758733,0.8017627975764515,2044,422,13,21
anomaly_recency_gate | Logistic Regression | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.857039929368072,0.1015625,0.38235294117647056,0.04663422546634226,0.0795720732758733,0.8017627975764515,2351,115,21,13
anomaly_recency_gate | Logistic Regression | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,test,default_0_50,0.5,0.03543307086614173,0.4864864864864865,0.19894437677628907,0.08595146176699991,0.7796468819611329,1973,490,19,18
anomaly_recency_gate | Logistic Regression | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.857039929368072,0.08666666666666667,0.35135135135135137,0.05562322371092164,0.08595146176699991,0.7796468819611329,2326,137,24,13
